2026-04-06 17:39:01 | INFO     | [renderer] Routing | chart_type=scatter | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:01 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=1/1
2026-04-06 17:39:01 | INFO     | [renderer] OK | chart_type=scatter
2026-04-06 17:39:02 | INFO     | [renderer] Routing | chart_type=scatter | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:02 | INFO     | [scatter] Rendered | x=Month | y=Month | hue=Region | sample=1/1
2026-04-06 17:39:02 | INFO     | [renderer] OK | chart_type=scatter
2026-04-06 17:39:03 | INFO     | [renderer] Routing | chart_type=boxplot | rows=1 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:03 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=1
2026-04-06 17:39:03 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:39:11 | INFO     | [renderer] Routing | chart_type=boxplot | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:11 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=11
2026-04-06 17:39:11 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:39:15 | INFO     | [renderer] Routing | chart_type=boxplot | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:15 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=11
2026-04-06 17:39:15 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:39:18 | INFO     | [renderer] Routing | chart_type=boxplot | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:18 | INFO     | [boxplot] Rendered | x=Month | y=Year | hue=Region | categories=1 | rows=11
2026-04-06 17:39:18 | INFO     | [renderer] OK | chart_type=boxplot
2026-04-06 17:39:18 | INFO     | [renderer] Routing | chart_type=heatmap | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:18 | INFO     | [heatmap] Rendered | x=Month | y=Branch | value=Year | pivot=(11, 1) | rows=11
2026-04-06 17:39:18 | INFO     | [renderer] OK | chart_type=heatmap
2026-04-06 17:39:29 | INFO     | [renderer] Routing | chart_type=heatmap | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:29 | INFO     | [heatmap] Rendered | x=Month | y=Branch | value=Year | pivot=(11, 1) | rows=11
2026-04-06 17:39:29 | INFO     | [renderer] OK | chart_type=heatmap
2026-04-06 17:39:30 | INFO     | [renderer] Routing | chart_type=heatmap | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
2026-04-06 17:39:30 | INFO     | [heatmap] Rendered | x=Month | y=Branch | value=Year | pivot=(11, 1) | rows=11
2026-04-06 17:39:31 | INFO     | [renderer] OK | chart_type=heatmap
2026-04-06 17:39:31 | INFO     | [renderer] Routing | chart_type=line | rows=11 | cols=['Year', 'Month', 'Branch', 'Region', 'Bounce Count'] | title='Month Wise, Branch Wise and Region Wise Bounce ...'
